ID_Funcionario,Nome,Departamento,Cargo,Salario,Data_Admissao,Genero,Idade,Estado_Civil,Status
1,Julia Nunes,Logística,Coordenador,9088.34,2024-08-13,F,43,Solteiro,Inativo
2,Sr. Gustavo Duarte,TI,Gerente,8155.98,2017-04-29,F,59,Solteiro,Inativo
3,Srta. Mariana Cunha,RH,Coordenador,14027.93,2024-12-11,F,27,Divorciado,Ativo
4,Ana Sophia da Cruz,Produção,Técnico,6647.97,2019-06-16,M,50,Casado,Inativo
5,Dr. Nicolas Pinto,Produção,Gerente,8730.19,2019-03-29,F,62,Casado,Inativo
6,Marcela Costa,RH,Analista,12403.42,2024-07-23,M,55,Solteiro,Ativo
7,João Miguel da Costa,Produção,Técnico,4771.89,2021-11-11,F,58,Viúvo,Inativo
8,Gabrielly Cardoso,RH,Analista,2728.36,2022-04-26,M,56,Divorciado,Ativo
9,Raul da Paz,Logística,Coordenador,3164.23,2022-11-30,F,51,Solteiro,Ativo
10,Davi Lucca Teixeira,Produção,Gerente,13512.53,2020-06-29,M,35,Viúvo,Ativo
11,Ana Beatriz Jesus,TI,Analista,5909.53,2019-07-24,M,52,Casado,Inativo
12,Dr. Calebe Barbosa,RH,Analista,3852.93,2018-09-04,F,63,Casado,Inativo
13,Laís da Mata,Vendas,Analista,4719.79,2019-12-20,M,64,Casado,Ativo
14,Nina Azevedo,RH,Assistente,3487.12,2018-12-14,M,34,Divorciado,Ativo
15,Laura Rezende,Logística,Analista,11978.82,2023-02-26,F,65,Casado,Ativo
16,Maria Julia das Neves,Produção,Técnico,11440.3,2025-04-18,M,38,Solteiro,Ativo
17,Luigi Santos,Financeiro,Gerente,8988.88,2016-12-10,F,32,Solteiro,Ativo
18,Srta. Giovanna Pinto,Produção,Coordenador,2503.83,2025-04-14,F,35,Viúvo,Inativo
19,Bernardo Cavalcanti,TI,Coordenador,6088.45,2020-02-06,F,59,Solteiro,Ativo
20,Joaquim da Mota,Logística,Assistente,8922.49,2019-12-29,F,54,Divorciado,Inativo
21,João Felipe da Cunha,Produção,Assistente,14015.44,2016-09-15,M,42,Viúvo,Inativo
22,Marcela Mendes,TI,Técnico,4336.75,2017-04-29,M,21,Solteiro,Inativo
23,Maria Cecília Teixeira,Financeiro,Técnico,12411.29,2023-11-27,F,19,Casado,Ativo
24,Sr. Henrique Fogaça,Financeiro,Técnico,3889.2,2016-05-24,F,22,Solteiro,Inativo
25,Dr. Theo Fernandes,TI,Técnico,9900.19,2017-10-17,M,41,Viúvo,Inativo
26,Miguel Fernandes,Financeiro,Técnico,4045.15,2025-05-16,F,39,Solteiro,Inativo
27,Cecília Silveira,Vendas,Assistente,5126.11,2022-10-13,F,49,Casado,Inativo
28,Srta. Kamilly Freitas,Logística,Analista,6376.48,2018-07-13,F,28,Viúvo,Ativo
29,Srta. Ana Lívia Alves,Vendas,Coordenador,14477.24,2022-06-08,F,33,Solteiro,Inativo
